test_name,metric_name,projection,factor,variance_ratio,p_value,n_groups,significant
SPE-001,spectral_gap,relative_change,d_encoding_id,1.0,0.0013949116726995287,6,True
SPE-001,spectral_gap,slope,d_encoding_id,0.974351460319783,0.00033559310747853125,6,True
SYM-001,asymmetry_norm_normalized,value_mean,d_encoding_id,0.9566622006573472,0.0021063747549042856,6,True
SYM-001,asymmetry_norm_normalized,value_final,d_encoding_id,0.9063368727706128,0.004120175293520536,6,True
SPE-001,eigenvalue_max,volatility,d_encoding_id,0.8908015408703998,0.000249164207719452,6,True
SPE-002,spectral_radius,volatility,d_encoding_id,0.8908015408703998,0.000249164207719452,6,True
UNIV-002,trace_absolute,volatility,d_encoding_id,0.8908015408703996,0.00019829787534870696,6,True
UNIV-002,trace_normalized,volatility,d_encoding_id,0.8908015408703996,0.00023490534594293808,6,True
UNIV-001,frobenius_norm,volatility,d_encoding_id,0.8903215361714022,0.000318700330039014,6,True
SPE-001,spectral_gap,value_mean,d_encoding_id,0.8799660785383112,0.0014011628948880502,6,True
SYM-001,asymmetry_norm,volatility,d_encoding_id,0.8774910029990829,0.0013773649249904103,6,True
SPE-001,spectral_gap,value_final,d_encoding_id,0.8522727272727273,0.0007087515779038763,6,True
SYM-001,asymmetry_norm_normalized,volatility,d_encoding_id,0.8000071049609454,0.007824674115890712,6,True
SYM-001,asymmetry_norm_normalized,relative_change,d_encoding_id,0.732079173462793,0.016365974745269383,6,True
SYM-001,asymmetry_norm_normalized,slope,d_encoding_id,0.6117201977027272,0.05315741134699226,6,False
SPE-001,spectral_gap,volatility,d_encoding_id,0.5625584844480324,0.015149500050411149,6,True
SPE-001,spectral_gap,volatility,seed,0.3772907428158508,0.029936599632864703,5,True
SPE-001,spectral_gap,value_final,seed,0.3223188405797101,0.06897825194285707,5,False
SYM-001,asymmetry_norm,slope,d_encoding_id,0.3012561419181079,0.3123521097132252,6,False
SYM-001,asymmetry_norm,value_mean,d_encoding_id,0.3009009589233422,0.3123521097132252,6,False
SYM-001,asymmetry_norm,value_final,d_encoding_id,0.3003682775794143,0.3374987003826017,6,False
SYM-001,asymmetry_norm,relative_change,d_encoding_id,0.3003475910764654,0.24712774943372756,6,False
SPE-001,spectral_gap,relative_change,seed,0.263492063300232,0.10856157277153368,5,False
SPE-001,spectral_gap,slope,seed,0.2529914492742273,0.11107305762788851,5,False
UNIV-002,trace_normalized,volatility,seed,0.2527179195996481,0.07898691593779739,5,False
SPE-001,eigenvalue_max,volatility,seed,0.25271791959964807,0.02095148122961212,5,True
SPE-002,spectral_radius,volatility,seed,0.25271791959964807,0.02095148122961212,5,True
UNIV-002,trace_absolute,volatility,seed,0.25271791959964807,0.040548619019170486,5,True
SPE-001,spectral_gap,value_mean,seed,0.24473288792534234,0.24377473428037214,5,False
UNIV-001,frobenius_norm,volatility,seed,0.23805321185826478,0.08261410032319312,5,False
SYM-001,asymmetry_norm,volatility,modifier_id,0.2154714996536899,0.12852487903558493,4,False
SPE-002,spectral_radius,volatility,modifier_id,0.17215321280379575,0.14091645281163592,4,False
SPE-001,eigenvalue_max,volatility,modifier_id,0.17215321280379575,0.14091645281163592,4,False
UNIV-002,trace_absolute,volatility,modifier_id,0.1721532128037955,0.5051138805226592,4,False
UNIV-002,trace_normalized,volatility,modifier_id,0.1721532128037955,0.2718558054543094,4,False
UNIV-001,frobenius_norm,slope,seed,0.16998355232608495,0.08773537497582826,5,False
UNIV-001,frobenius_norm,value_mean,seed,0.16968959525277547,0.08773537497582826,5,False
UNIV-001,frobenius_norm,value_final,seed,0.16924575143901133,0.08773537497582826,5,False
UNIV-002,trace_normalized,slope,seed,0.16888067980313548,0.11576875991508406,5,False
UNIV-002,trace_absolute,slope,seed,0.16888067980313545,0.11576875991508406,5,False
SPE-002,spectral_radius,slope,seed,0.16888067979829485,0.10026197615395954,5,False
SPE-001,eigenvalue_max,slope,seed,0.16888067979829485,0.10026197615395954,5,False
UNIV-002,trace_absolute,value_mean,seed,0.16857781630628974,0.11576875991508406,5,False
UNIV-002,trace_normalized,value_mean,seed,0.1685778163062897,0.11576875991508406,5,False
SPE-002,spectral_radius,value_mean,seed,0.16857781630048554,0.10026197615395954,5,False
SPE-001,eigenvalue_max,value_mean,seed,0.16857781630048554,0.10026197615395954,5,False
UNIV-002,trace_absolute,value_final,seed,0.16812063320973883,0.11576875991508406,5,False
UNIV-002,trace_normalized,value_final,seed,0.16812063320973883,0.11576875991508406,5,False
SPE-002,spectral_radius,value_final,seed,0.168120633202493,0.10026197615395954,5,False
SPE-001,eigenvalue_max,value_final,seed,0.168120633202493,0.10026197615395954,5,False
UNIV-001,frobenius_norm,relative_change,seed,0.16782082162703957,0.07731661055958573,5,False
SPE-001,eigenvalue_max,relative_change,seed,0.16660272776991877,0.10026197615395954,5,False
SPE-002,spectral_radius,relative_change,seed,0.16660272776991877,0.10026197615395954,5,False
SYM-001,asymmetry_norm,slope,seed,0.16476332875204158,0.16951504644777482,5,False
SYM-001,asymmetry_norm,value_mean,seed,0.16439216434168205,0.16951504644777482,5,False
SYM-001,asymmetry_norm,volatility,seed,0.1639924564289272,0.1292561917645755,5,False
SYM-001,asymmetry_norm,value_final,seed,0.16384169434203624,0.19523905967525382,5,False
SYM-001,asymmetry_norm,relative_change,seed,0.16382046592220786,0.1932582496986919,5,False
SYM-001,asymmetry_norm_normalized,value_mean,modifier_id,0.16140998045864266,0.55530009522663,4,False
UNIV-002,trace_normalized,relative_change,seed,0.15358209415832685,0.10162806545160928,5,False
UNIV-002,trace_absolute,relative_change,seed,0.1535820940765654,0.10162806545160928,5,False
SYM-001,asymmetry_norm_normalized,value_final,modifier_id,0.14381146402983835,0.6523406200963626,4,False
SYM-001,asymmetry_norm_normalized,relative_change,modifier_id,0.14313161103777614,0.25001394336297306,4,False
UNIV-001,frobenius_norm,volatility,modifier_id,0.12557151519169502,0.5482948381600863,4,False
SYM-001,asymmetry_norm_normalized,slope,seed,0.12333971484384233,0.2153920573596049,5,False
SYM-001,asymmetry_norm_normalized,value_mean,seed,0.11469171567439021,0.6121321526034574,5,False
UNIV-001,frobenius_norm,slope,d_encoding_id,0.10835582934955391,0.18531486832865476,6,False
UNIV-001,frobenius_norm,value_mean,d_encoding_id,0.10807625804154128,0.18531486832865476,6,False
UNIV-001,frobenius_norm,value_final,d_encoding_id,0.10767416144137534,0.18531486832865476,6,False
SPE-002,spectral_radius,slope,d_encoding_id,0.10697861682064588,0.09951686238678828,6,False
SPE-001,eigenvalue_max,slope,d_encoding_id,0.10697861682064588,0.09951686238678828,6,False
UNIV-002,trace_normalized,slope,d_encoding_id,0.10697861681963917,0.13772023360783422,6,False
UNIV-002,trace_absolute,slope,d_encoding_id,0.10697861681963917,0.13772023360783422,6,False
SPE-002,spectral_radius,value_mean,d_encoding_id,0.1066869790999253,0.09951686238678828,6,False
SPE-001,eigenvalue_max,value_mean,d_encoding_id,0.1066869790999253,0.09951686238678828,6,False
UNIV-002,trace_normalized,value_mean,d_encoding_id,0.10668697909871107,0.13772023360783422,6,False
UNIV-002,trace_absolute,value_mean,d_encoding_id,0.10668697909871103,0.13772023360783422,6,False
UNIV-001,frobenius_norm,relative_change,d_encoding_id,0.10654031782909458,0.1944033563838024,6,False
SPE-001,eigenvalue_max,value_final,d_encoding_id,0.10626656464656371,0.09951686238678828,6,False
SPE-002,spectral_radius,value_final,d_encoding_id,0.10626656464656371,0.09951686238678828,6,False
UNIV-002,trace_normalized,value_final,d_encoding_id,0.10626656464503446,0.13772023360783422,6,False
UNIV-002,trace_absolute,value_final,d_encoding_id,0.10626656464503445,0.13772023360783422,6,False
SYM-001,asymmetry_norm_normalized,relative_change,seed,0.10585755320248415,0.859211537197241,5,False
SPE-001,eigenvalue_max,relative_change,d_encoding_id,0.10503580219452173,0.09951686238678828,6,False
SPE-002,spectral_radius,relative_change,d_encoding_id,0.10503580219452173,0.09951686238678828,6,False
UNIV-002,trace_absolute,relative_change,d_encoding_id,0.10334695528090403,0.08966900229527872,6,False
UNIV-002,trace_normalized,relative_change,d_encoding_id,0.10334695524665428,0.08966900229527872,6,False
SYM-001,asymmetry_norm_normalized,value_final,seed,0.10152272096899738,0.4091745522725546,5,False
UNIV-002,trace_absolute,relative_change,modifier_id,0.09978266333806467,0.9636966771569544,4,False
UNIV-002,trace_normalized,relative_change,modifier_id,0.09978266319622003,0.9636966771569544,4,False
SYM-001,asymmetry_norm_normalized,slope,modifier_id,0.08638783558965678,0.7746144013141779,4,False
UNIV-001,frobenius_norm,relative_change,modifier_id,0.07614097615637451,0.8978839708070809,4,False
SPE-001,eigenvalue_max,relative_change,modifier_id,0.07487032110053438,0.9875720450273602,4,False
SPE-002,spectral_radius,relative_change,modifier_id,0.07487032110053438,0.9875720450273602,4,False
UNIV-001,frobenius_norm,value_final,modifier_id,0.07293449148040539,0.8078966758606825,4,False
UNIV-001,frobenius_norm,value_mean,modifier_id,0.0719188312611819,0.8078966758606825,4,False
SPE-002,spectral_radius,value_final,modifier_id,0.07162855506474014,0.9875720450273602,4,False
SPE-001,eigenvalue_max,value_final,modifier_id,0.07162855506474014,0.9875720450273602,4,False
UNIV-002,trace_normalized,value_final,modifier_id,0.07162855506326961,0.9746170856751721,4,False
UNIV-002,trace_absolute,value_final,modifier_id,0.0716285550632696,0.9746170856751721,4,False
UNIV-001,frobenius_norm,slope,modifier_id,0.07124158137055164,0.8078966758606825,4,False
SPE-002,spectral_radius,value_mean,modifier_id,0.07063590477800168,0.9875720450273602,4,False
SPE-001,eigenvalue_max,value_mean,modifier_id,0.07063590477800168,0.9875720450273602,4,False
UNIV-002,trace_normalized,value_mean,modifier_id,0.07063590477683222,0.9746170856751721,4,False
UNIV-002,trace_absolute,value_mean,modifier_id,0.07063590477683221,0.9746170856751721,4,False
SPE-001,eigenvalue_max,slope,modifier_id,0.0699740246531679,0.9875720450273602,4,False
SPE-002,spectral_radius,slope,modifier_id,0.0699740246531679,0.9875720450273602,4,False
UNIV-002,trace_normalized,slope,modifier_id,0.06997402465219729,0.9746170856751721,4,False
UNIV-002,trace_absolute,slope,modifier_id,0.06997402465219728,0.9746170856751721,4,False
SPE-001,spectral_gap,slope,modifier_id,0.06852546026965778,0.5803425193912017,4,False
SYM-001,asymmetry_norm,relative_change,modifier_id,0.06801127810493522,0.7149828016001528,4,False
SYM-001,asymmetry_norm,value_final,modifier_id,0.06796879352971828,0.6359310440481203,4,False
SYM-001,asymmetry_norm,value_mean,modifier_id,0.06687474583813759,0.6790278239637573,4,False
SPE-001,spectral_gap,relative_change,modifier_id,0.0666666667288744,0.7745492457935746,4,False
SYM-001,asymmetry_norm,slope,modifier_id,0.0661451757430775,0.6790278239637573,4,False
SYM-001,asymmetry_norm_normalized,volatility,seed,0.05837752525384093,0.9181613769166285,5,False
SYM-001,asymmetry_norm_normalized,volatility,modifier_id,0.028354124226405368,0.9574122421345536,4,False
SPE-001,spectral_gap,value_mean,modifier_id,0.016176933815615795,0.5545596998000146,4,False
SPE-001,spectral_gap,volatility,modifier_id,0.009938043689107603,0.9983869610531259,4,False
SPE-001,spectral_gap,value_final,modifier_id,0.0017391304347826077,0.9973315872197566,4,False
