test_name,metric_name,projection,factor,variance_ratio,p_value,n_groups,significant
SPA-001,smoothness,value_mean,gamma_id,0.9370989378900665,0.0,12,True
SPA-001,smoothness,relative_change,gamma_id,0.9297593253548099,3.2497083006384934e-299,12,True
SPA-001,smoothness,value_final,gamma_id,0.9283773083353556,0.0,12,True
SPA-001,smoothness,volatility,gamma_id,0.9217970538554603,0.0,12,True
UNIV-001,frobenius_norm,volatility,gamma_id,0.8965524423186204,0.0,12,True
SPA-001,laplacian_energy,volatility,gamma_id,0.7806490269275476,0.0,12,True
GRA-001,clustering_local,volatility,gamma_id,0.7676348223866885,6.854096831254778e-288,12,True
GRA-001,clustering_local,value_final,gamma_id,0.7466412049315629,0.0,12,True
GRA-001,density,volatility,gamma_id,0.7376543682493741,2.3712351878605052e-281,12,True
GRA-001,clustering_local,value_mean,gamma_id,0.7328231728892947,0.0,12,True
GRA-001,degree_variance,value_final,gamma_id,0.7163669359759504,0.0,12,True
SPA-001,laplacian_energy,value_final,gamma_id,0.713419212383108,0.0,12,True
GRA-001,density,value_final,gamma_id,0.7034988747209315,0.0,12,True
SPA-001,laplacian_energy,value_mean,gamma_id,0.6939132209757434,2.396152369284336e-299,12,True
GRA-001,density,value_mean,gamma_id,0.6843670587707616,0.0,12,True
PAT-001,concentration_top10,value_final,gamma_id,0.6799306129647792,0.0,12,True
SYM-001,asymmetry_norm_normalized,volatility,gamma_id,0.6780760344338325,6.610796531443934e-133,12,True
SPA-001,gradient_magnitude,value_final,gamma_id,0.605757936627846,0.0,12,True
SPA-001,gradient_magnitude,value_mean,gamma_id,0.605717403646648,0.0,12,True
SYM-001,asymmetry_norm,volatility,gamma_id,0.6008755078104767,4.000780159373907e-96,12,True
SPA-001,smoothness,slope,gamma_id,0.5941124146046435,0.0,12,True
SPA-001,gradient_magnitude,slope,gamma_id,0.5930701627765681,0.0,12,True
PAT-001,concentration_top10,value_mean,gamma_id,0.5930303246832022,0.0,12,True
GRA-001,degree_variance,volatility,gamma_id,0.5683051599910968,2.275921921679605e-224,12,True
GRA-001,degree_variance,slope,gamma_id,0.5497786163593182,1.2026902183781952e-271,12,True
PAT-001,diversity_simpson,value_final,gamma_id,0.5471826103892418,0.0,12,True
PAT-001,uniformity,value_final,gamma_id,0.5471826103892394,0.0,12,True
PAT-001,diversity_simpson,value_mean,gamma_id,0.5286860458828304,0.0,12,True
PAT-001,uniformity,value_mean,gamma_id,0.5286860458828297,0.0,12,True
GRA-001,density,slope,gamma_id,0.5269436641553659,0.0,12,True
SPE-001,spectral_gap,slope,gamma_id,0.524878193653425,2.27483463430804e-203,12,True
GRA-001,clustering_local,slope,gamma_id,0.5240214091101646,0.0,12,True
SPE-001,spectral_gap,value_final,gamma_id,0.5049199411401358,1.4226471916634585e-194,12,True
TOP-001,holes_count,slope,gamma_id,0.4896840362931158,9.750984963023973e-253,12,True
GRA-001,degree_variance,value_mean,gamma_id,0.4838877854307769,1.0017585768896938e-301,12,True
TOP-001,holes_count,value_final,gamma_id,0.4685941930511429,8.293994260188386e-181,12,True
TOP-001,holes_count,volatility,gamma_id,0.4623229019935373,0.0,12,True
TOP-001,euler_characteristic,volatility,gamma_id,0.46167431226711203,0.0,12,True
TOP-001,connected_components,value_final,gamma_id,0.44443843925164384,7.444804603816086e-205,12,True
TOP-001,connected_components,value_mean,gamma_id,0.4151972554498515,1.7742389902473987e-181,12,True
TOP-001,connected_components,slope,gamma_id,0.4132150395066017,1.4452177561210253e-206,12,True
TOP-001,connected_components,volatility,gamma_id,0.4043489959388428,0.0,12,True
SYM-001,asymmetry_norm_normalized,value_mean,d_encoding_id,0.38224159510966566,2.098588095685765e-214,10,True
SYM-001,asymmetry_norm_normalized,value_final,gamma_id,0.3803960094380981,3.0203710831996794e-207,12,True
SPE-001,spectral_gap,value_mean,gamma_id,0.3790736853728255,6.502724925496327e-114,12,True
PAT-001,concentration_top10,relative_change,gamma_id,0.37753822939526843,1.1435432582269323e-270,12,True
TOP-001,holes_count,value_mean,gamma_id,0.3584946137943194,1.7141361141620117e-126,12,True
SYM-001,asymmetry_norm_normalized,value_mean,gamma_id,0.331133859874977,7.801750337709808e-122,12,True
SPA-001,gradient_magnitude,relative_change,gamma_id,0.3264555963221288,2.1307865637065424e-299,12,True
SPA-001,laplacian_energy,relative_change,d_encoding_id,0.3091540393817994,1.923763153041663e-88,10,True
SYM-001,asymmetry_norm_normalized,value_final,d_encoding_id,0.29000741534574054,9.812391376573739e-123,10,True
SPE-001,spectral_gap,value_mean,d_encoding_id,0.28861295472149556,2.6016405102724805e-206,10,True
TOP-001,connected_components,value_mean,d_encoding_id,0.28293130233492947,1.6794971182042425e-153,10,True
TOP-001,holes_count,value_mean,d_encoding_id,0.2595201192106609,2.3637094833795492e-147,10,True
SYM-001,asymmetry_norm_normalized,relative_change,gamma_id,0.24737420814240876,9.72068246807489e-133,12,True
TOP-001,connected_components,value_final,d_encoding_id,0.23954057475294308,1.1558935551952954e-116,10,True
TOP-001,euler_characteristic,value_mean,d_encoding_id,0.23825208155340893,1.045571967315738e-71,10,True
TOP-001,euler_characteristic,value_final,d_encoding_id,0.22457193826337976,4.8029108603903625e-54,10,True
PAT-001,concentration_top10,volatility,gamma_id,0.17558412361100764,0.0,12,True
TOP-001,holes_count,value_final,d_encoding_id,0.1713319217635598,6.557124302820106e-98,10,True
SPA-001,laplacian_energy,value_mean,d_encoding_id,0.14701576850956233,9.580592529857167e-91,10,True
SPE-001,spectral_gap,relative_change,gamma_id,0.13762571941641966,9.107077699108374e-144,12,True
SPE-001,spectral_gap,value_final,d_encoding_id,0.13351527714387873,5.397379563952242e-88,10,True
TOP-001,holes_count,relative_change,gamma_id,0.1282021932547003,0.0,12,True
GRA-001,density,relative_change,d_encoding_id,0.12699273090926524,1.077573746193261e-38,10,True
GRA-001,clustering_local,relative_change,d_encoding_id,0.1267893144096004,1.877103129321455e-24,10,True
TOP-001,holes_count,relative_change,d_encoding_id,0.11935977528238322,1.884379002268503e-05,10,True
PAT-001,diversity_simpson,value_mean,d_encoding_id,0.11841543110600823,3.494802368694485e-70,10,True
PAT-001,uniformity,value_mean,d_encoding_id,0.11841543110600804,3.5009238256938105e-70,10,True
PAT-001,concentration_top10,value_mean,d_encoding_id,0.1092985849064222,3.669533679316674e-33,10,True
SPA-001,laplacian_energy,value_final,d_encoding_id,0.1090968110659554,2.407270802898819e-29,10,True
TOP-001,connected_components,relative_change,gamma_id,0.10794600114866554,0.0,12,True
PAT-001,diversity_simpson,value_final,d_encoding_id,0.1060085717547609,6.520924333124116e-39,10,True
PAT-001,uniformity,value_final,d_encoding_id,0.10600857175476039,6.520924333124116e-39,10,True
PAT-001,diversity_simpson,relative_change,d_encoding_id,0.10417135565730937,0.00759376780327243,10,True
PAT-001,uniformity,volatility,gamma_id,0.10401302004366333,0.0,12,True
SPE-001,spectral_gap,volatility,gamma_id,0.10035282355704316,4.127784824460634e-175,12,True
PAT-001,uniformity,volatility,d_encoding_id,0.0992045617037222,1.3207322089702419e-05,10,True
PAT-001,uniformity,relative_change,d_encoding_id,0.09903468445712028,0.0055635508904284935,10,True
SPE-001,spectral_gap,relative_change,d_encoding_id,0.0982339626905985,1.0275357740827473e-54,10,True
PAT-001,concentration_top10,slope,d_encoding_id,0.08238210472082617,2.8555279937179385e-47,10,True
TOP-001,euler_characteristic,value_final,modifier_id,0.07941559099772325,2.4060426290886724e-33,4,True
TOP-001,connected_components,relative_change,d_encoding_id,0.07488817103152215,5.903498094469014e-17,10,True
PAT-001,diversity_simpson,volatility,d_encoding_id,0.07455034223600353,1.653800182308648e-05,10,True
TOP-001,euler_characteristic,value_mean,modifier_id,0.0731365801789242,7.021939169410878e-34,4,True
PAT-001,diversity_simpson,volatility,gamma_id,0.07240967120276706,0.0,12,True
GRA-001,density,value_mean,d_encoding_id,0.07212386562531366,1.4163316304729503e-77,10,True
GRA-001,degree_variance,volatility,d_encoding_id,0.07100440188895961,3.964608032005158e-45,10,True
SPA-001,laplacian_energy,relative_change,gamma_id,0.060609225845019,7.340953022977856e-274,12,True
GRA-001,clustering_local,value_mean,d_encoding_id,0.060016527177670705,8.00209687967229e-59,10,True
SPA-001,gradient_magnitude,volatility,gamma_id,0.0590540202464243,0.0,12,True
GRA-001,density,value_final,d_encoding_id,0.05776764205304226,1.454328626951564e-26,10,True
PAT-001,uniformity,slope,gamma_id,0.056907220640778675,0.0,12,True
PAT-001,diversity_simpson,slope,gamma_id,0.056907220640778584,0.0,12,True
PAT-001,concentration_top10,value_final,d_encoding_id,0.05643413540392945,2.7628267385455573e-13,10,True
TOP-001,euler_characteristic,value_final,seed,0.054321695428141886,1.301581235992763e-56,5,True
TOP-001,euler_characteristic,value_mean,seed,0.052926670249355066,2.8797430484473144e-61,5,True
PAT-001,diversity_simpson,slope,d_encoding_id,0.05077814770164985,5.035041808502729e-28,10,True
PAT-001,uniformity,slope,d_encoding_id,0.050778147701649845,8.359066394656266e-28,10,True
SYM-001,asymmetry_norm_normalized,slope,gamma_id,0.05042888831113588,5.759822293778022e-129,12,True
GRA-001,clustering_local,value_final,d_encoding_id,0.05041109623119513,3.766950321513531e-21,10,True
SPA-001,gradient_magnitude,relative_change,d_encoding_id,0.050062048918566436,8.025838823822784e-14,10,True
SYM-001,asymmetry_norm,volatility,modifier_id,0.05005670101437722,3.868307754118413e-109,4,True
SYM-001,asymmetry_norm_normalized,relative_change,modifier_id,0.04757019990533094,7.930182005278027e-114,4,True
SYM-001,asymmetry_norm_normalized,slope,d_encoding_id,0.04371347801661197,7.922429431522511e-117,10,True
TOP-001,holes_count,value_mean,modifier_id,0.04313107618579657,2.328909777281381e-33,4,True
PAT-001,uniformity,relative_change,gamma_id,0.04249186945674839,0.0,12,True
SPA-001,gradient_magnitude,value_mean,d_encoding_id,0.042472501758247315,3.1920942859717165e-39,10,True
SPA-001,gradient_magnitude,value_final,d_encoding_id,0.04228933976761502,3.783980080763893e-13,10,True
SYM-001,asymmetry_norm,volatility,d_encoding_id,0.04205697411087287,6.993353086729678e-96,10,True
PAT-001,diversity_simpson,value_mean,modifier_id,0.04069538588747877,3.872292660405953e-07,4,True
PAT-001,uniformity,value_mean,modifier_id,0.04069538588747866,3.871465454811016e-07,4,True
PAT-001,concentration_top10,relative_change,d_encoding_id,0.04039532239696095,2.650437992558126e-06,10,True
PAT-001,diversity_simpson,relative_change,gamma_id,0.03988906081578264,0.0,12,True
TOP-001,euler_characteristic,slope,gamma_id,0.03930190103670932,1.3360097992935022e-75,12,True
TOP-001,euler_characteristic,slope,d_encoding_id,0.03796448844949519,1.5384897650823768e-27,10,True
PAT-001,diversity_simpson,value_final,modifier_id,0.03730351439598635,3.5263852883818857e-07,4,True
PAT-001,uniformity,value_final,modifier_id,0.03730351439598616,3.5263852883818857e-07,4,True
GRA-001,density,slope,d_encoding_id,0.03692587649048816,1.467395212359115e-63,10,True
GRA-001,clustering_local,slope,d_encoding_id,0.035724578159288346,5.584281676615234e-41,10,True
SYM-001,asymmetry_norm_normalized,relative_change,d_encoding_id,0.03439737431182869,0.2920516286210934,10,False
TOP-001,holes_count,slope,d_encoding_id,0.03380361221866866,7.927418501046443e-12,10,True
TOP-001,connected_components,volatility,d_encoding_id,0.033653068513964206,3.934479352201996e-11,10,True
SPA-001,gradient_magnitude,volatility,d_encoding_id,0.033392596276502415,1.1955891430513116e-25,10,True
SPA-001,gradient_magnitude,slope,d_encoding_id,0.03239125206144427,6.941625264270581e-23,10,True
