test_name,metric_name,projection,factor,variance_ratio,p_value,n_groups,significant
SPE-001,spectral_gap,value_mean,d_encoding_id,1.038901642753317,0.0014011628948880502,6,True
SPE-001,spectral_gap,value_final,d_encoding_id,0.9942028985507255,0.0007087515779038763,6,True
SPE-001,spectral_gap,slope,d_encoding_id,0.9557573094334819,0.00033559310747853125,6,True
SYM-001,asymmetry_norm_normalized,value_final,d_encoding_id,0.9196326354512873,0.004120175293520536,6,True
SYM-001,asymmetry_norm_normalized,value_mean,d_encoding_id,0.8949332442411941,0.0021063747549042856,6,True
UNIV-001,frobenius_norm,volatility,d_encoding_id,0.7809688329830555,0.000318700330039014,6,True
SPE-001,eigenvalue_max,volatility,d_encoding_id,0.7577622883078836,0.000249164207719452,6,True
SPE-001,spectral_radius,volatility,d_encoding_id,0.7577622883078836,0.000249164207719452,6,True
UNIV-002,trace_normalized,volatility,d_encoding_id,0.7577622883078835,0.00023490534594293808,6,True
UNIV-002,trace_absolute,volatility,d_encoding_id,0.7577622883078831,0.00019829787534870696,6,True
SYM-001,asymmetry_norm,volatility,d_encoding_id,0.7535954915971801,0.0013773649249904103,6,True
SPE-001,spectral_gap,relative_change,d_encoding_id,0.7407407409841884,0.0013949116726995287,6,True
SYM-001,asymmetry_norm_normalized,relative_change,d_encoding_id,0.633675002497726,0.016365974745269383,6,True
SPE-001,spectral_gap,volatility,d_encoding_id,0.600867174433278,0.015149500050411149,6,True
SYM-001,asymmetry_norm_normalized,volatility,d_encoding_id,0.5898718535005203,0.007824674115890712,6,True
SYM-001,asymmetry_norm_normalized,slope,d_encoding_id,0.5608262891533807,0.05315741134699226,6,False
SPE-001,spectral_gap,volatility,seed,0.4505504891441859,0.029936599632864703,5,True
SYM-001,asymmetry_norm,slope,d_encoding_id,0.3983149000108017,0.3123521097132252,6,False
SYM-001,asymmetry_norm,value_mean,d_encoding_id,0.3976018427694629,0.3123521097132252,6,False
SYM-001,asymmetry_norm,value_final,d_encoding_id,0.39653255739873666,0.3374987003826017,6,False
SYM-001,asymmetry_norm,relative_change,d_encoding_id,0.39649103472427605,0.24712774943372756,6,False
UNIV-001,frobenius_norm,volatility,seed,0.3660602767217371,0.08261410032319312,5,False
UNIV-002,trace_normalized,volatility,seed,0.36580091515152297,0.07898691593779739,5,False
SPE-001,spectral_radius,volatility,seed,0.3658009151515227,0.02095148122961212,5,True
SPE-001,eigenvalue_max,volatility,seed,0.3658009151515227,0.02095148122961212,5,True
UNIV-002,trace_absolute,volatility,seed,0.36580091515152263,0.040548619019170486,5,True
