test_name,metric_name,projection,factor,variance_ratio,p_value,n_groups,significant
SPA-001,smoothness,value_mean,gamma_id,0.9370989378900673,0.0,12,True
SPA-001,smoothness,relative_change,gamma_id,0.9297593253548061,3.2497083006384934e-299,12,True
SPA-001,smoothness,value_final,gamma_id,0.928377308335364,0.0,12,True
SPA-001,smoothness,volatility,gamma_id,0.921797053855461,0.0,12,True
UNIV-001,frobenius_norm,volatility,gamma_id,0.8974384082329944,0.0,12,True
SPA-001,laplacian_energy,volatility,gamma_id,0.7806490269275421,0.0,12,True
SPE-001,spectral_radius,volatility,gamma_id,0.7754313065653679,1.2530511522999923e-278,12,True
SPE-001,eigenvalue_max,volatility,gamma_id,0.7754313065653679,1.2530511522999923e-278,12,True
GRA-001,clustering_local,volatility,gamma_id,0.7676348223866903,6.854096831254778e-288,12,True
GRA-001,clustering_local,value_final,gamma_id,0.7466412049315898,0.0,12,True
GRA-001,density,volatility,gamma_id,0.7376543682493731,2.3712351878605052e-281,12,True
GRA-001,clustering_local,value_mean,gamma_id,0.7328231728892962,0.0,12,True
GRA-001,degree_variance,value_final,gamma_id,0.716366935975963,0.0,12,True
SPA-001,laplacian_energy,value_final,gamma_id,0.7134192123831035,0.0,12,True
GRA-001,density,value_final,gamma_id,0.703498874720915,0.0,12,True
SPA-001,laplacian_energy,value_mean,gamma_id,0.6939132209757441,2.396152369284336e-299,12,True
GRA-001,density,value_mean,gamma_id,0.6843670587707641,0.0,12,True
PAT-001,concentration_top10,value_final,gamma_id,0.6799306129647726,0.0,12,True
SYM-001,asymmetry_norm_normalized,volatility,gamma_id,0.677907720083506,9.018780307986608e-131,12,True
SPA-001,gradient_magnitude,value_final,gamma_id,0.6057579366278405,0.0,12,True
SPA-001,gradient_magnitude,value_mean,gamma_id,0.6057174036466474,0.0,12,True
SYM-001,asymmetry_norm,volatility,gamma_id,0.6018414895525042,8.017400513539126e-93,12,True
SPA-001,smoothness,slope,gamma_id,0.5941124146046437,0.0,12,True
SPA-001,gradient_magnitude,slope,gamma_id,0.5930701627765723,0.0,12,True
PAT-001,concentration_top10,value_mean,gamma_id,0.5930303246832026,0.0,12,True
GRA-001,degree_variance,volatility,gamma_id,0.5683051599910977,2.275921921679605e-224,12,True
GRA-001,degree_variance,slope,gamma_id,0.5497786163593181,1.2026902183781952e-271,12,True
PAT-001,diversity_simpson,value_final,gamma_id,0.547182610389247,0.0,12,True
PAT-001,uniformity,value_final,gamma_id,0.5471826103892469,0.0,12,True
PAT-001,uniformity,value_mean,gamma_id,0.528686045882829,0.0,12,True
PAT-001,diversity_simpson,value_mean,gamma_id,0.528686045882829,0.0,12,True
GRA-001,density,slope,gamma_id,0.5269436641553655,0.0,12,True
GRA-001,clustering_local,slope,gamma_id,0.5240214091101645,0.0,12,True
SPE-001,spectral_gap,value_final,gamma_id,0.4950611053464931,6.715342021443957e-189,12,True
SPE-001,spectral_gap,slope,gamma_id,0.49486513171547986,7.046192202852594e-189,12,True
TOP-001,holes_count,slope,gamma_id,0.48968403629311524,9.750984963023973e-253,12,True
GRA-001,degree_variance,value_mean,gamma_id,0.4838877854307771,1.0017585768896938e-301,12,True
UNIV-002,trace_absolute,volatility,gamma_id,0.4781006555163422,2.052283991634734e-152,12,True
UNIV-002,trace_normalized,volatility,gamma_id,0.4766371282506489,1.3258164640643052e-151,12,True
TOP-001,holes_count,value_final,gamma_id,0.4685941930511457,8.293994260188386e-181,12,True
TOP-001,holes_count,volatility,gamma_id,0.4623229019935442,0.0,12,True
TOP-001,euler_characteristic,volatility,gamma_id,0.4616743122671118,0.0,12,True
TOP-001,connected_components,value_final,gamma_id,0.4444384392516406,7.444804603816086e-205,12,True
TOP-001,connected_components,value_mean,gamma_id,0.41519725544984915,1.7742389902473987e-181,12,True
TOP-001,connected_components,slope,gamma_id,0.41321503950660177,1.4452177561210253e-206,12,True
TOP-001,connected_components,volatility,gamma_id,0.4043489959388479,0.0,12,True
SYM-001,asymmetry_norm_normalized,value_final,gamma_id,0.3833844347444272,3.2331950444976777e-206,12,True
SYM-001,asymmetry_norm_normalized,value_mean,d_encoding_id,0.37993904216926805,1.8223390725690727e-212,10,True
SPE-001,spectral_gap,value_mean,gamma_id,0.3780395286725157,1.783054089725281e-107,12,True
PAT-001,concentration_top10,relative_change,gamma_id,0.3775382293952677,1.1435432582269323e-270,12,True
TOP-001,holes_count,value_mean,gamma_id,0.358494613794321,1.7141361141620117e-126,12,True
SYM-001,asymmetry_norm_normalized,value_mean,gamma_id,0.333930599066843,1.016923134122516e-120,12,True
SPA-001,gradient_magnitude,relative_change,gamma_id,0.3264555963221291,2.1307865637065424e-299,12,True
SPA-001,laplacian_energy,relative_change,d_encoding_id,0.309154039381799,1.923763153041663e-88,10,True
SPE-001,spectral_gap,value_mean,d_encoding_id,0.2949187386451258,5.006265270011042e-208,10,True
SYM-001,asymmetry_norm_normalized,value_final,d_encoding_id,0.28844729450894707,4.8353095474742265e-121,10,True
TOP-001,connected_components,value_mean,d_encoding_id,0.28293130233492786,1.6794971182042425e-153,10,True
TOP-001,holes_count,value_mean,d_encoding_id,0.25952011921066204,2.3637094833795492e-147,10,True
SYM-001,asymmetry_norm_normalized,relative_change,gamma_id,0.24699715028821986,4.2918263432727075e-133,12,True
TOP-001,connected_components,value_final,d_encoding_id,0.23954057475294127,1.1558935551952954e-116,10,True
TOP-001,euler_characteristic,value_mean,d_encoding_id,0.23825208155340888,1.045571967315738e-71,10,True
TOP-001,euler_characteristic,value_final,d_encoding_id,0.22457193826337882,4.8029108603903625e-54,10,True
PAT-001,concentration_top10,volatility,gamma_id,0.17558412361100773,0.0,12,True
TOP-001,holes_count,value_final,d_encoding_id,0.1713319217635608,6.557124302820106e-98,10,True
SPE-001,spectral_gap,value_final,d_encoding_id,0.1497680833890976,6.559198422083897e-90,10,True
SPA-001,laplacian_energy,value_mean,d_encoding_id,0.14701576850956247,9.580592529857167e-91,10,True
SPE-001,spectral_gap,relative_change,gamma_id,0.14119466677416725,4.058709577889979e-140,12,True
TOP-001,holes_count,relative_change,gamma_id,0.12820219325470036,0.0,12,True
GRA-001,density,relative_change,d_encoding_id,0.12699273090926472,1.077573746193261e-38,10,True
GRA-001,clustering_local,relative_change,d_encoding_id,0.12678931440960015,1.877103129321455e-24,10,True
TOP-001,holes_count,relative_change,d_encoding_id,0.11935977528238323,1.884379002268503e-05,10,True
PAT-001,uniformity,value_mean,d_encoding_id,0.11841543110600791,3.5009238256938105e-70,10,True
PAT-001,diversity_simpson,value_mean,d_encoding_id,0.11841543110600788,3.494802368694485e-70,10,True
PAT-001,concentration_top10,value_mean,d_encoding_id,0.10929858490642226,3.669533679316674e-33,10,True
SPA-001,laplacian_energy,value_final,d_encoding_id,0.10909681106595474,2.407270802898819e-29,10,True
TOP-001,connected_components,relative_change,gamma_id,0.10794600114866319,0.0,12,True
PAT-001,diversity_simpson,value_final,d_encoding_id,0.10600857175476196,6.520924333124116e-39,10,True
PAT-001,uniformity,value_final,d_encoding_id,0.10600857175476186,6.520924333124116e-39,10,True
PAT-001,diversity_simpson,relative_change,d_encoding_id,0.10417135565730903,0.00759376780327243,10,True
PAT-001,uniformity,volatility,gamma_id,0.1040130200436633,0.0,12,True
SPE-001,spectral_gap,volatility,gamma_id,0.10031451093288352,2.562524148847377e-170,12,True
SPE-001,spectral_gap,relative_change,d_encoding_id,0.10002204662286432,1.3761561383999156e-58,10,True
PAT-001,uniformity,volatility,d_encoding_id,0.09920456170372216,1.3207322089702419e-05,10,True
PAT-001,uniformity,relative_change,d_encoding_id,0.09903468445711937,0.0055635508904284935,10,True
PAT-001,concentration_top10,slope,d_encoding_id,0.08238210472082619,2.8555279937179385e-47,10,True
TOP-001,euler_characteristic,value_final,modifier_id,0.07941559099772293,2.4060426290886724e-33,4,True
TOP-001,connected_components,relative_change,d_encoding_id,0.07488817103152058,5.903498094469014e-17,10,True
PAT-001,diversity_simpson,volatility,d_encoding_id,0.07455034223600387,1.653800182308648e-05,10,True
TOP-001,euler_characteristic,value_mean,modifier_id,0.07313658017892417,7.021939169410878e-34,4,True
PAT-001,diversity_simpson,volatility,gamma_id,0.07240967120276738,0.0,12,True
GRA-001,density,value_mean,d_encoding_id,0.07212386562531393,1.4163316304729503e-77,10,True
GRA-001,degree_variance,volatility,d_encoding_id,0.07100440188895972,3.964608032005158e-45,10,True
SPA-001,laplacian_energy,relative_change,gamma_id,0.06060922584501891,7.340953022977856e-274,12,True
GRA-001,clustering_local,value_mean,d_encoding_id,0.06001652717767081,8.00209687967229e-59,10,True
SPA-001,gradient_magnitude,volatility,gamma_id,0.059054020246424255,0.0,12,True
GRA-001,density,value_final,d_encoding_id,0.057767642053040885,1.454328626951564e-26,10,True
PAT-001,uniformity,slope,gamma_id,0.05690722064077866,0.0,12,True
PAT-001,diversity_simpson,slope,gamma_id,0.05690722064077858,0.0,12,True
PAT-001,concentration_top10,value_final,d_encoding_id,0.05643413540392891,2.7628267385455573e-13,10,True
TOP-001,euler_characteristic,value_final,seed,0.05432169542814166,1.301581235992763e-56,5,True
TOP-001,euler_characteristic,value_mean,seed,0.05292667024935506,2.8797430484473144e-61,5,True
PAT-001,diversity_simpson,slope,d_encoding_id,0.05077814770164986,5.035041808502729e-28,10,True
PAT-001,uniformity,slope,d_encoding_id,0.05077814770164983,8.359066394656266e-28,10,True
SYM-001,asymmetry_norm,volatility,modifier_id,0.05069140223870797,1.3591980945904556e-109,4,True
UNIV-001,frobenius_norm,value_final,gamma_id,0.050589304132938634,0.0,12,True
GRA-001,clustering_local,value_final,d_encoding_id,0.05041109623119697,3.766950321513531e-21,10,True
SPA-001,gradient_magnitude,relative_change,d_encoding_id,0.0500620489185665,8.025838823822784e-14,10,True
SYM-001,asymmetry_norm_normalized,relative_change,modifier_id,0.047731888347769265,1.756387349028689e-112,4,True
SYM-001,asymmetry_norm,value_final,gamma_id,0.0436505839358751,2.240544565476503e-241,12,True
TOP-001,holes_count,value_mean,modifier_id,0.04313107618579675,2.328909777281381e-33,4,True
PAT-001,uniformity,relative_change,gamma_id,0.04249186945674801,0.0,12,True
SPA-001,gradient_magnitude,value_mean,d_encoding_id,0.042472501758247294,3.1920942859717165e-39,10,True
SPA-001,gradient_magnitude,value_final,d_encoding_id,0.04228933976761462,3.783980080763893e-13,10,True
SYM-001,asymmetry_norm,volatility,d_encoding_id,0.041922730810900845,1.7412977119173035e-96,10,True
SYM-001,asymmetry_norm_normalized,slope,d_encoding_id,0.041748394872025675,1.335222916003109e-117,10,True
PAT-001,diversity_simpson,value_mean,modifier_id,0.04069538588747866,3.872292660405953e-07,4,True
PAT-001,uniformity,value_mean,modifier_id,0.04069538588747862,3.871465454811016e-07,4,True
PAT-001,concentration_top10,relative_change,d_encoding_id,0.040395322396960864,2.650437992558126e-06,10,True
PAT-001,diversity_simpson,relative_change,gamma_id,0.03988906081578252,0.0,12,True
TOP-001,euler_characteristic,slope,gamma_id,0.039301901036709316,1.3360097992935022e-75,12,True
TOP-001,euler_characteristic,slope,d_encoding_id,0.03796448844949517,1.5384897650823768e-27,10,True
PAT-001,diversity_simpson,value_final,modifier_id,0.03730351439598671,3.5263852883818857e-07,4,True
PAT-001,uniformity,value_final,modifier_id,0.03730351439598668,3.5263852883818857e-07,4,True
UNIV-001,frobenius_norm,relative_change,gamma_id,0.03704524634035816,3.310962624274175e-288,12,True
GRA-001,density,slope,d_encoding_id,0.036925876490488146,1.467395212359115e-63,10,True
SYM-001,asymmetry_norm_normalized,slope,gamma_id,0.03620008162096624,1.5967283605270442e-128,12,True
GRA-001,clustering_local,slope,d_encoding_id,0.03572457815928833,5.584281676615234e-41,10,True
SYM-001,asymmetry_norm_normalized,relative_change,d_encoding_id,0.0347485582839361,0.3150060462419476,10,False
TOP-001,holes_count,slope,d_encoding_id,0.03380361221866862,7.927418501046443e-12,10,True
TOP-001,connected_components,volatility,d_encoding_id,0.03365306851396462,3.934479352201996e-11,10,True
SPA-001,gradient_magnitude,volatility,d_encoding_id,0.03339259627650237,1.1955891430513116e-25,10,True
SPA-001,gradient_magnitude,slope,d_encoding_id,0.032391252061444484,6.941625264270581e-23,10,True
SPA-001,smoothness,slope,d_encoding_id,0.03225973983778473,2.1268720000144304e-55,10,True
TOP-001,holes_count,value_final,modifier_id,0.03175089690127766,1.3406571101291417e-26,4,True
GRA-001,density,relative_change,modifier_id,0.03130822485517075,1.1270431732042475e-11,4,True
GRA-001,clustering_local,relative_change,modifier_id,0.03128926492064067,1.850110908942203e-11,4,True
PAT-001,concentration_top10,volatility,d_encoding_id,0.028759227427638652,1.801273441502508e-11,10,True
GRA-001,density,volatility,d_encoding_id,0.028272860871134467,1.1530231911304253e-30,10,True
SPA-001,laplacian_energy,slope,d_encoding_id,0.02715122149135601,1.0800036466701408e-52,10,True
GRA-001,degree_variance,value_mean,d_encoding_id,0.027093219834237205,4.765512529845669e-69,10,True
UNIV-002,trace_normalized,volatility,d_encoding_id,0.02646686232747507,8.21057593555835e-41,10,True
TOP-001,holes_count,volatility,d_encoding_id,0.026460508096019353,1.6774518162619894e-15,10,True
UNIV-002,trace_absolute,volatility,d_encoding_id,0.02623686542248601,1.3964529738472238e-39,10,True
SPE-001,spectral_gap,volatility,d_encoding_id,0.025625542950273045,4.175879107598308e-99,10,True
