test_name,metric_name,projection,factor,variance_ratio,p_value,n_groups,significant
PAT-001,diversity_simpson,volatility,gamma_id,0.7131780063007968,5.879784434436134e-09,2,True
PAT-001,uniformity,volatility,gamma_id,0.7123252172234293,5.879784434436134e-09,2,True
PAT-001,diversity_simpson,relative_change,gamma_id,0.694873086470159,5.8754063246943325e-09,2,True
PAT-001,uniformity,relative_change,gamma_id,0.6947889769865075,5.8754063246943325e-09,2,True
PAT-001,concentration_top10,value_mean,gamma_id,0.50847678332387,5.878324743242627e-09,2,True
GRA-001,clustering_local,relative_change,d_encoding_id,0.4999999999818834,0.02344139014421213,2,True
PAT-001,concentration_top10,value_final,gamma_id,0.46995985659831185,2.615701114934375e-10,2,True
GRA-001,degree_variance,volatility,gamma_id,0.46388860098128754,0.0025738453508668702,2,True
PAT-001,diversity_simpson,value_mean,gamma_id,0.43123703637986427,5.499033818917361e-07,2,True
PAT-001,uniformity,value_mean,gamma_id,0.43123703637986394,2.764942429719368e-07,2,True
PAT-001,uniformity,value_final,gamma_id,0.4257110339164137,5.270624155130739e-07,2,True
PAT-001,diversity_simpson,value_final,gamma_id,0.4257110339164135,5.270624155130739e-07,2,True
GRA-001,density,relative_change,modifier_id,0.39999999895898253,1.4548996866215031e-05,3,True
PAT-001,concentration_top10,value_mean,d_encoding_id,0.32554932378866935,3.0433671661964054e-08,3,True
GRA-001,density,value_final,modifier_id,0.31784993997953287,7.352400909551617e-05,3,True
PAT-001,uniformity,volatility,d_encoding_id,0.3161050987841949,1.8266314208690264e-08,3,True
PAT-001,diversity_simpson,volatility,d_encoding_id,0.31574429126944253,1.8266314208690264e-08,3,True
GRA-001,clustering_local,value_final,modifier_id,0.3052490083253302,7.352400909551617e-05,3,True
PAT-001,diversity_simpson,slope,d_encoding_id,0.30042366855928004,5.6903021830698094e-12,3,True
PAT-001,uniformity,slope,d_encoding_id,0.30042366855928,5.6903021830698094e-12,3,True
PAT-001,concentration_top10,slope,d_encoding_id,0.2946478127285272,0.0002733718559038214,3,True
PAT-001,uniformity,relative_change,d_encoding_id,0.27973334271060196,1.1616444792346357e-08,3,True
PAT-001,diversity_simpson,relative_change,d_encoding_id,0.27884903780602394,1.1616444792346357e-08,3,True
GRA-001,clustering_local,relative_change,modifier_id,0.25000000001043066,5.545738818099723e-06,3,True
GRA-001,clustering_local,slope,gamma_id,0.23766855580834303,0.0159106687982144,2,True
GRA-001,density,slope,gamma_id,0.23653271225414493,0.04941352049930268,2,True
GRA-001,clustering_local,volatility,gamma_id,0.2310810948303474,0.0009628655853121649,2,True
PAT-001,concentration_top10,value_final,d_encoding_id,0.22978510266148225,0.00014209198834503117,3,True
GRA-001,clustering_local,value_mean,modifier_id,0.22644634991822,0.027876778608668475,3,True
GRA-001,density,value_mean,modifier_id,0.221974246997152,0.026630365286843975,3,True
GRA-001,density,volatility,gamma_id,0.21828721822504257,0.0009677879050070244,2,True
PAT-001,concentration_top10,relative_change,d_encoding_id,0.21687456585715667,0.000978714142137913,3,True
PAT-001,concentration_top10,volatility,gamma_id,0.20208960242660398,2.865258191299201e-08,2,True
GRA-001,density,relative_change,d_encoding_id,0.20000000206981883,0.02521711928544842,2,True
GRA-001,density,volatility,modifier_id,0.170465857338227,0.00020971845775510114,3,True
GRA-001,density,slope,d_encoding_id,0.16924891185764257,0.07513681939312933,2,False
GRA-001,clustering_local,slope,d_encoding_id,0.16776267698726954,0.1378973839972383,2,False
GRA-001,density,value_mean,gamma_id,0.16704069880810593,3.5777812877525467e-06,2,True
GRA-001,clustering_local,value_mean,gamma_id,0.1612953254252347,3.5442981073021135e-06,2,True
PAT-001,diversity_simpson,value_final,modifier_id,0.15508823562075408,0.029730014408861652,3,True
PAT-001,uniformity,value_final,modifier_id,0.15508823562075405,0.029730014408861652,3,True
PAT-001,diversity_simpson,value_mean,modifier_id,0.1484918555558416,0.05921906722191942,3,False
PAT-001,uniformity,value_mean,modifier_id,0.14849185555584155,0.05951764838924858,3,False
GRA-001,degree_variance,slope,modifier_id,0.1462200824871717,0.0027145166794108767,3,True
PAT-001,uniformity,value_mean,d_encoding_id,0.142664283461021,0.0027353884349629745,3,True
PAT-001,diversity_simpson,value_mean,d_encoding_id,0.14266428346102053,0.002706764537693381,3,True
GRA-001,degree_variance,value_mean,seed,0.1404072853707216,0.8803491684680135,5,False
PAT-001,concentration_top10,volatility,d_encoding_id,0.13351484205024064,0.042678413206860374,3,True
PAT-001,concentration_top10,value_final,modifier_id,0.13105246257374725,0.017982391416893655,3,True
PAT-001,concentration_top10,volatility,modifier_id,0.12640439929198616,0.002274554541482659,3,True
PAT-001,diversity_simpson,value_final,d_encoding_id,0.12257288138063191,0.035335396388515364,3,True
