test_name,metric_name,projection,factor,variance_ratio,p_value,n_groups,significant
PAT-001,concentration_top10,value_mean,d_encoding_id,0.8341838720268411,5.888295298291268e-05,3,True
GRA-001,clustering_local,value_final,d_encoding_id,0.7983580713859959,0.0001075111767295009,2,True
PAT-001,concentration_top10,value_final,d_encoding_id,0.7772902603293799,3.0205425820690035e-05,3,True
GRA-001,density,value_final,d_encoding_id,0.7574156814265286,0.0001075111767295009,2,True
PAT-001,diversity_simpson,value_final,d_encoding_id,0.7553693706435601,9.588271152253875e-05,3,True
PAT-001,uniformity,value_final,d_encoding_id,0.7553693706435601,9.588271152253875e-05,3,True
GRA-001,clustering_local,value_mean,d_encoding_id,0.7497708156412465,5.380741956062056e-05,2,True
PAT-001,diversity_simpson,value_mean,d_encoding_id,0.7491956008553576,9.705367261408295e-05,3,True
PAT-001,uniformity,value_mean,d_encoding_id,0.7491956008553575,0.00015239076708175887,3,True
GRA-001,density,value_mean,d_encoding_id,0.7268259103712711,5.223547845797603e-05,2,True
PAT-001,concentration_top10,volatility,d_encoding_id,0.6862249325937172,6.340061723595258e-05,3,True
PAT-001,uniformity,relative_change,d_encoding_id,0.643286323939895,2.974058500108081e-05,3,True
PAT-001,diversity_simpson,relative_change,d_encoding_id,0.6432197316285928,2.974058500108081e-05,3,True
PAT-001,uniformity,volatility,d_encoding_id,0.6109491885484382,2.0309225474575078e-05,3,True
PAT-001,diversity_simpson,volatility,d_encoding_id,0.6104078552940295,2.0309225474575078e-05,3,True
PAT-001,concentration_top10,relative_change,d_encoding_id,0.5029850894114981,8.032042160427533e-05,3,True
PAT-001,diversity_simpson,volatility,gamma_id,0.4277743365360301,0.03159896844888989,2,True
PAT-001,uniformity,volatility,gamma_id,0.42745874903817016,0.03159896844888989,2,True
GRA-001,degree_variance,volatility,d_encoding_id,0.400084561239966,5.223547845797603e-05,2,True
PAT-001,uniformity,relative_change,gamma_id,0.3940813326986462,0.03159896844888989,2,True
PAT-001,diversity_simpson,relative_change,gamma_id,0.39407863605788834,0.03159896844888989,2,True
PAT-001,concentration_top10,volatility,gamma_id,0.2999401478017369,0.03159896844888989,2,True
GRA-001,degree_variance,volatility,gamma_id,0.2977605017497362,0.31184981154287966,2,False
GRA-001,density,volatility,d_encoding_id,0.27029827093998515,5.223547845797603e-05,2,True
GRA-001,density,relative_change,d_encoding_id,0.2695102964423082,4.594727431524013e-05,2,True
PAT-001,concentration_top10,value_final,gamma_id,0.2617808078615002,0.026001078247055255,2,True
GRA-001,clustering_local,relative_change,d_encoding_id,0.2616614586395587,5.2625088071156235e-05,2,True
GRA-001,degree_variance,slope,seed,0.24733713172255117,0.7033206703868917,5,False
PAT-001,uniformity,slope,d_encoding_id,0.2230856411689359,0.00014204381380948848,3,True
PAT-001,diversity_simpson,slope,d_encoding_id,0.2230856411689345,0.00014204381380948848,3,True
PAT-001,concentration_top10,value_mean,gamma_id,0.2108586490240041,0.03159896844888989,2,True
GRA-001,degree_variance,value_final,seed,0.21052631578947364,0.4060058497098402,5,False
GRA-001,degree_variance,relative_change,seed,0.20385902672493664,0.9127003740162202,5,False
GRA-001,degree_variance,value_mean,seed,0.1994787520435421,0.9961842834410014,5,False
PAT-001,uniformity,slope,gamma_id,0.1964091611993436,0.9999999041445407,2,False
PAT-001,diversity_simpson,slope,gamma_id,0.1964091611993433,0.9999999041445407,2,False
GRA-001,density,volatility,gamma_id,0.18736766170442187,0.31184981154287966,2,False
GRA-001,density,slope,seed,0.17954239675060196,0.5450798258138279,5,False
GRA-001,clustering_local,slope,seed,0.1686147523345737,0.5495287778380267,5,False
PAT-001,concentration_top10,slope,gamma_id,0.16841078675169102,0.0007962301575908095,2,True
PAT-001,concentration_top10,slope,d_encoding_id,0.1676926292187813,0.04610310397044878,3,True
GRA-001,clustering_local,relative_change,seed,0.1604907638327708,0.9246595710694853,5,False
GRA-001,clustering_local,volatility,d_encoding_id,0.15794829953184233,5.380741956062056e-05,2,True
GRA-001,density,relative_change,seed,0.14476370588997603,0.9432099866881395,5,False
GRA-001,clustering_local,volatility,seed,0.14395121710252218,0.9962096658491725,5,False
GRA-001,clustering_local,volatility,gamma_id,0.13201143603335586,0.31268195058070986,2,False
PAT-001,concentration_top10,slope,seed,0.11037894936927733,0.718750385662509,5,False
GRA-001,clustering_local,slope,d_encoding_id,0.10924636123189173,0.01539016708201911,2,True
GRA-001,clustering_local,slope,gamma_id,0.10810520488345353,0.5446699621463635,2,False
GRA-001,density,slope,d_encoding_id,0.09458025126914697,0.015214370270760672,2,True
GRA-001,density,slope,gamma_id,0.09359671013341975,0.5439777338592582,2,False
GRA-001,density,volatility,seed,0.08883973366971396,0.9968293903043978,5,False
PAT-001,diversity_simpson,slope,seed,0.08821468918075648,0.97951235898989,5,False
PAT-001,uniformity,slope,seed,0.08821468918075592,0.97951235898989,5,False
PAT-001,uniformity,value_mean,gamma_id,0.08508767319002905,0.16225049984722673,2,False
PAT-001,diversity_simpson,value_mean,gamma_id,0.08508767319002905,0.4736935341944474,2,False
GRA-001,degree_variance,relative_change,d_encoding_id,0.08263437975686158,4.5596611521395406e-05,2,True
GRA-001,density,relative_change,gamma_id,0.08160307354901562,0.6836158682703194,2,False
PAT-001,diversity_simpson,value_final,gamma_id,0.07868274784417063,0.4734208884205543,2,False
PAT-001,uniformity,value_final,gamma_id,0.07868274784417058,0.4734208884205543,2,False
